Module,Mã CN,Tên chức năng,Mô tả chi tiết,Business Rules / Validation,Man-Day Dev,Man-Day Test,Độ ưu tiên
"Web Booking – 3. Quy trình đặt dịch vụ",BK-ORD-03,Nhập thông tin đặt phòng,"Họ tên khách chính, SDT, số người lớn/trẻ em, yêu cầu đặc biệt","Validate SDT; số khách không vượt sức chứa phòng",1,0.5,P1
"Web Booking – 3. Quy trình đặt dịch vụ",BK-ORD-04,Áp mã giảm giá / voucher,"Nhập mã, tính giảm theo % hoặc số tiền cố định","1 đơn 1 mã; check điều kiện: min order, hạn dùng, loại dv",1.5,0.5,P2
"Web Booking – 3. Quy trình đặt dịch vụ",BK-ORD-05,Xác nhận đơn & tóm tắt,"Tóm tắt đơn hàng, tổng tiền, chính sách hủy trước khi thanh toán",Hiển thị rõ phí hủy theo từng mốc thời gian,1,0.5,P1
"Web Booking – 4. Thanh toán",BK-PAY-01,Thanh toán online (VNPay/MoMo/Banking),"Tích hợp cổng thanh toán; hiển thị QR/chuyển hướng","Timeout 15 phút; tự hủy lock nếu quá hạn",3,1,P1
"Web Booking – 4. Thanh toán",BK-PAY-02,Thanh toán khi đến (Pay at resort),"Chọn trả tiền mặt/thẻ khi check-in; đơn ở trạng thái chờ xác nhận",Deposit tối thiểu 30% nếu đặt trước >7 ngày,1,0.5,P2
"Web Booking – 4. Thanh toán",BK-PAY-03,Lịch sử giao dịch & hóa đơn,"Danh sách giao dịch, tải PDF hóa đơn điện tử","Hóa đơn bao gồm mã đơn, chi tiết dv, VAT",1.5,0.5,P1
"Web Booking – 4. Thanh toán",BK-PAY-04,Hoàn tiền / Refund,Khách hủy đúng chính sách → tự động hoàn về ví/tài khoản gốc,"Xử lý 3-7 ngày làm việc; lưu log đầy đủ",2,1,P2
"Web Booking – 5. Quản lý đơn đặt",BK-BOOK-01,Xem danh sách đơn đặt của tôi,"Lịch sử đặt, trạng thái: Chờ xác nhận/Đã xác nhận/Check-in/Đã hủy",Sắp xếp ngày mới nhất,1,0.5,P1
"Web Booking – 5. Quản lý đơn đặt",BK-BOOK-02,Chi tiết đơn đặt & QR check-in,"Toàn bộ thông tin đơn, tải voucher/QR check-in","QR chứa booking ID, dùng check-in tại quầy",1,0.5,P1
"Web Booking – 5. Quản lý đơn đặt",BK-BOOK-03,Hủy đơn đặt,"Khách hủy online, tính phí hủy theo chính sách, hoàn tiền tự động","Không hủy sau 0h ngày check-in; phí hủy theo % từng mốc",1.5,0.5,P1
"Web Booking – 5. Quản lý đơn đặt",BK-BOOK-04,Chỉnh sửa đặt phòng,"Thay đổi ngày, loại phòng (còn chỗ và chưa qua 24h trước check-in)","Tính lại giá mới; hoàn/thu thêm chênh lệch",2,1,P2
"Web Booking – 6. Đánh giá & Review",BK-REV-01,Gửi đánh giá sau dịch vụ,"Khách đánh giá sao (1-5), viết nhận xét, đính kèm ảnh","Chỉ đánh giá sau check-out; 1 đơn=1 lần",1.5,0.5,P2
"Web Booking – 6. Đánh giá & Review",BK-REV-02,Xem đánh giá khách khác,"Rating tổng, danh sách review, lọc theo sao",Ẩn review bị report vi phạm,1,0.5,P2
"Web Booking – 7. Thông báo",BK-NOTI-01,Email/SMS xác nhận đơn,"Tự động gửi sau đặt thành công: mã đơn, chi tiết dv, QR check-in","Template email có logo KDL; SMS ngắn gọn",1.5,0.5,P1
"Web Booking – 7. Thông báo",BK-NOTI-02,Nhắc lịch trước check-in,"Gửi email/SMS trước 24h: hướng dẫn, thời tiết, bản đồ",Gửi lúc 9h sáng ngày trước,1,0.5,P2
"Web Booking – 7. Thông báo",BK-NOTI-03,Push notification (web),"Thông báo khuyến mãi, trạng thái đơn thay đổi",Khách có thể tắt từng loại,1,0.5,P3
"Web Booking – 8. Admin Booking",BK-ADM-01,Dashboard đặt phòng real-time,"Số đơn hôm nay, phòng trống/đã đặt, doanh thu ngày","Refresh 60 giây hoặc manual",2,1,P1
"Web Booking – 8. Admin Booking",BK-ADM-02,Danh sách đơn & tìm kiếm,"Lọc theo ngày, trạng thái, loại dv, tên khách, SDT",Export Excel/PDF,2,0.5,P1
"Web Booking – 8. Admin Booking",BK-ADM-03,Xác nhận / Hủy đơn thủ công,Admin/lễ tân xác nhận Pay-at-resort hoặc hủy đơn có lý do,Log người thực hiện + thời gian,1,0.5,P1
"Web Booking – 8. Admin Booking",BK-ADM-04,Quản lý phòng & tình trạng,"Cập nhật: Sẵn sàng/Đang dọn/Bảo trì/Đang có khách",Kết nối với module Nhân sự (buồng phòng),1.5,0.5,P1
"Web Booking – 8. Admin Booking",BK-ADM-05,Quản lý danh mục dịch vụ (CMS),"Thêm/sửa/xóa phòng, vé, activity, menu; upload ảnh, cấu hình giá",Giá cấu hình theo ngày lễ/weekend,2,1,P1
"Web Booking – 8. Admin Booking",BK-ADM-06,Báo cáo doanh thu & công suất,"Doanh thu theo ngày/tháng/quý, công suất phòng, loại dv đặt nhiều nhất","Xuất Excel; chart trực quan",2,1,P2
"Web Booking – 8. Admin Booking",BK-ADM-07,Quản lý mã giảm giá / Voucher,"Tạo mã, cấu hình điều kiện, thống kê sử dụng","Mã unique; giới hạn số lần dùng",1.5,0.5,P2
"Nhân sự – 1. Hồ sơ Nhân viên",HR-EMP-01,Quản lý hồ sơ nhân viên,"Lưu thông tin: Họ tên, CCCD, ngày sinh, giới tính, quê quán, SDT, email, ảnh thẻ","Mã NV tự sinh tăng dần; CCCD unique; tuổi 18-60",2,1,P1
"Nhân sự – 1. Hồ sơ Nhân viên",HR-EMP-02,Phân loại nhân viên theo bộ phận,"Bộ phận: Lễ tân, Buồng phòng, Nhà hàng, Bảo vệ, Kỹ thuật, Hướng dẫn viên, Văn phòng","1 NV thuộc 1 bộ phận chính; có thể kiêm nhiệm",1,0.5,P1
"Nhân sự – 1. Hồ sơ Nhân viên",HR-EMP-03,Quản lý hợp đồng lao động,"Lưu loại hợp đồng (thử việc/chính thức/thời vụ), ngày bắt đầu, ngày hết hạn",Cảnh báo HRD trước 30 ngày khi hợp đồng sắp hết hạn,1.5,0.5,P1
"Nhân sự – 1. Hồ sơ Nhân viên",HR-EMP-04,Quản lý tài liệu đính kèm,"Upload CCCD 2 mặt, bằng cấp, chứng chỉ nghiệp vụ (buồng phòng, F&B, cứu thương)","File PDF/JPG; tối đa 10MB/file",1,0.5,P2
"Nhân sự – 1. Hồ sơ Nhân viên",HR-EMP-05,Lịch sử nghỉ việc / tái nhận,"Lưu ngày nghỉ việc, lý do; có thể tái nhận là nhân viên theo mùa","Trạng thái: Đang làm / Nghỉ việc / Tạm nghỉ / Theo mùa",1,0.5,P2
"Nhân sự – 2. Ca kíp & Chấm công",HR-ATT-01,Quản lý ca làm việc,"Định nghĩa ca: Ca sáng (6h-14h), Ca chiều (14h-22h), Ca đêm (22h-6h), Ca hành chính","KDL hoạt động 24/7; ca đêm có phụ cấp",1.5,0.5,P1
"Nhân sự – 2. Ca kíp & Chấm công",HR-ATT-02,Xếp ca & phân công hàng tuần,Phân công NV vào ca theo tuần; hiển thị lịch ca từng NV và từng bộ phận,"Bảo đảm đủ NV tối thiểu mỗi ca; cảnh báo khi thiếu người",2,1,P1
"Nhân sự – 2. Ca kíp & Chấm công",HR-ATT-03,Chấm công thủ công (check-in/out),Admin/quản lý nhập giờ vào/ra cho NV; import từ file Excel,Giờ vào/ra lưu theo timestamp; chỉnh sửa phải có lý do + người duyệt,2,1,P1
"Nhân sự – 2. Ca kíp & Chấm công",HR-ATT-04,Tính số giờ làm / tăng ca tự động,"Hệ thống tự tính: số giờ làm chuẩn, giờ tăng ca, giờ đi muộn/về sớm","Tăng ca trên 8h/ngày; cuối tuần x1.5; ngày lễ x2",2,0.5,P1
"Nhân sự – 2. Ca kíp & Chấm công",HR-ATT-05,Chấm công nhân viên thời vụ,Hỗ trợ NV theo mùa: kích hoạt/ngừng theo thời gian hợp đồng,"Mùa lễ: tháng 4-9; hiệu chỉnh ngày công theo thực tế",1,0.5,P2
"Nhân sự – 2. Ca kíp & Chấm công",HR-ATT-06,Báo cáo chấm công tháng,"Tổng hợp từng NV: ngày làm, ngày nghỉ phép, ngày vắng mặt, tăng ca","Export Excel; gửi email quản lý ngày 1 hàng tháng",1.5,0.5,P1
"Nhân sự – 3. Phép & Nghỉ phép",HR-LEA-01,Đăng ký nghỉ phép,"NV gửi yêu cầu: loại phép (năm/bệnh/không lương), ngày, lý do","Phép năm: thông báo trước 3 ngày; phép bệnh: chụp giấy khám",1.5,0.5,P1
"Nhân sự – 3. Phép & Nghỉ phép",HR-LEA-02,Duyệt nghỉ phép,Quản lý bộ phận duyệt/từ chối; cảnh báo nếu ca có ít hơn 2 NV do nghỉ,"Duyệt trong 24h; từ chối phải có lý do",1.5,0.5,P1
"Nhân sự – 3. Phép & Nghỉ phép",HR-LEA-03,Theo dõi số ngày phép còn lại,Hiển thị số ngày phép năm còn lại theo luật (12 ngày/năm cho NV chính thức),Phép chuyển sang năm mới tối đa 5 ngày,1,0.5,P1
"Nhân sự – 4. Tính lương",HR-SAL-01,Cấu hình lương cơ bản & phụ cấp,"Cài đặt lương cơ bản, phụ cấp ca đêm, độc hại, tiền cơm, điều hành","Lương cơ bản theo chức danh; phụ cấp theo bộ phận/vị trí",1.5,0.5,P1
"Nhân sự – 4. Tính lương",HR-SAL-02,Tính lương tự động hàng tháng,Lấy dữ liệu chấm công → tính: lương cơ bản + phụ cấp + tăng ca - các khoản trừ,"Tính theo thực tế ngày công; lock kỳ lương trước ngày 5",2,1,P1
"Nhân sự – 4. Tính lương",HR-SAL-03,Quản lý các khoản trừ,"Tạm ứng, BHXH/BHYT NV đóng, thuế TNCN, phạt vi phạm nội quy","BHXH: NV đóng 8%; BHYT: 1.5%; thuế TNCN tính lũy tiến",1.5,0.5,P1
"Nhân sự – 4. Tính lương",HR-SAL-04,Phiếu lương cá nhân,Xuất phiếu lương PDF cho từng NV; gửi qua email,Phiếu lương có chữ ký điện tử kế toán trưởng,1,0.5,P2
"Nhân sự – 4. Tính lương",HR-SAL-05,Báo cáo quỹ lương toàn công ty,"Tổng hợp lương theo bộ phận, theo tháng, xuất Excel/PDF","Phân quyền: kế toán và GĐ mới xem được",1.5,0.5,P1
"Nhân sự – 5. KPI & Đánh giá",HR-KPI-01,Định nghĩa chỉ tiêu KPI theo bộ phận,"KPI Lễ tân: lượng khách, review score; KPI Buồng phòng: số phòng dọn/ca; KPI Nhà hàng: đơn dv, khiếu nại","Mỗi bộ phận KPI riêng; cập nhật theo kỳ (tháng/quý)",1.5,0.5,P2
"Nhân sự – 5. KPI & Đánh giá",HR-KPI-02,Nhập kết quả KPI hàng tháng,"Quản lý nhập KPI thực hiện từng NV; liên kết dữ liệu booking (điểm review, số khách)","Số liệu booking tự động lấy; KPI thủ công cần ký duyệt",1.5,0.5,P2
"Nhân sự – 5. KPI & Đánh giá",HR-KPI-03,Báo cáo đánh giá nhân viên,"Xếp loại: Xuất sắc / Tốt / Đạt yêu cầu / Cần cải thiện; lưu lịch sử theo tháng","Làm cơ sở tăng lương, khen thưởng, kỷ luật",1,0.5,P2
"Nhân sự – 6. Quản trị Hệ thống",HR-ADM-01,Phân quyền người dùng (RBAC),"GĐ toàn quyền; Quản lý BP: xem/nhập KPI, duyệt phép bộ phận mình; NV: xem ca và phiếu lương bản thân",Không được xem lương NV khác cùng cấp,1,0.5,P1
"Nhân sự – 6. Quản trị Hệ thống",HR-ADM-02,Dashboard NS tổng quát,"Số NV đang làm, vắng mặt hôm nay, hợp đồng sắp hết hạn, tổng quỹ lương tháng này",Admin refresh manual hoặc F5,1.5,0.5,P1
"Nhân sự – 6. Quản trị Hệ thống",HR-ADM-03,Nhật ký kiểm toán (Audit log),"Ghi lại mọi thay đổi: chỉnh sửa hồ sơ, duyệt phép, sửa chấm công","Lưu: người thực hiện, thời gian, giá trị trước/sau",1,0.5,P1
"Nhân sự – 7. Đào tạo & Phát triển",HR-TRAIN-01,Lập kế hoạch đào tạo năm,"Lập kế hoạch đào tạo cho từng bộ phận: nghiệp vụ, kỹ năng mềm, PCCC, sơ cứu","Mỗi NV ≥16 giờ đào tạo/năm; PCCC bắt buộc 1 lần/năm",1.5,0.5,P2
"Nhân sự – 7. Đào tạo & Phát triển",HR-TRAIN-02,Quản lý khóa đào tạo,"Tạo khóa học: tên, giảng viên, ngày, địa điểm, số chỗ, tài liệu PDF","Đào tạo nội bộ và bên ngoài; upload tài liệu",1.5,0.5,P2
"Nhân sự – 7. Đào tạo & Phát triển",HR-TRAIN-03,Đăng ký & theo dõi đào tạo,NV đăng ký khóa học; xác nhận tham gia; chấm điểm sau đào tạo,Khóa bắt buộc: hệ thống tự ghi danh theo bộ phận,1,0.5,P2
"Nhân sự – 7. Đào tạo & Phát triển",HR-TRAIN-04,Quản lý chứng chỉ nghiệp vụ,"Lưu chứng chỉ: loại, ngày cấp, ngày hết hạn; cảnh báo gần hết hạn","Nghề đặc thù (cứu hộ, pha chế, HDV) bắt buộc cập nhật",1.5,0.5,P2
"Nhân sự – 7. Đào tạo & Phát triển",HR-TRAIN-05,Báo cáo đào tạo,"Số giờ đào tạo/NV, tỉ lệ hoàn thành, chi phí đào tạo theo bộ phận","Export Excel; so sánh kế hoạch vs thực hiện",1,0.5,P3
"Nhân sự – 8. Khen thưởng & Kỷ luật",HR-DIS-01,Ghi nhận khen thưởng,"Tạo quyết định khen thưởng: NV, lý do, hình thức (tiền/hiện vật/giấy khen), ngày","Lưu vào hồ sơ NV; ảnh hưởng xếp loại KPI",1,0.5,P2
"Nhân sự – 8. Khen thưởng & Kỷ luật",HR-DIS-02,Lập biên bản kỷ luật,"Ghi vi phạm: loại vi phạm, mức kỷ luật (nhắc nhở/cảnh cáo/hạ bậc/sa thải), ngày, người quyết định","Kỷ luật sa thải cần TGĐ ký duyệt; lưu biên bản PDF",1.5,0.5,P1
"Nhân sự – 8. Khen thưởng & Kỷ luật",HR-DIS-03,Lịch sử khen thưởng & kỷ luật,Xem toàn bộ lịch sử khen/kỷ theo NV; ảnh hưởng đến tăng lương và thăng chức,"Hiển thị trong hồ sơ NV; HRD và TGĐ xem được",1,0.5,P2
"Nhân sự – 8. Khen thưởng & Kỷ luật",HR-DIS-04,Quy trình khiếu nại nội bộ,NV khiếu nại quyết định kỷ luật; HR tiếp nhận; HĐ xem xét và trả lời trong 5 ngày,"Bảo mật; chỉ NV liên quan và HR được xem",1,0.5,P3
"Nhân sự – 9. Cộng tác viên (CTV)",HR-CTV-01,Hồ sơ cộng tác viên,"Lưu thông tin CTV: họ tên, CCCD, chuyên môn, địa chỉ, SDT, mức thù lao","CTV không tính BHXH; hợp đồng cộng tác/dịch vụ",1.5,0.5,P2
"Nhân sự – 9. Cộng tác viên (CTV)",HR-CTV-02,Lịch phát sinh & phân công CTV,"Phân công CTV theo sự kiện/mùa: nghệ nhân, HDV, nhiếp ảnh; xác nhận lịch","Phân công ít nhất 3 ngày trước; CTV xác nhận qua SMS",1.5,0.5,P2
"Nhân sự – 9. Cộng tác viên (CTV)",HR-CTV-03,Quản lý thanh toán thù lao CTV,Tổng hợp thù lao theo tháng; xuất bảng tính tiền; duyệt thanh toán,Thù lao >2 triệu/lần khấu trừ thuế TNCN 10%,1.5,0.5,P2
"Nhân sự – 9. Cộng tác viên (CTV)",HR-CTV-04,Đánh giá chất lượng CTV,"Đánh giá sau mỗi sự kiện: chuyên môn, thái độ, đúng giờ; lưu lịch sử","CTV bị đánh giá kém 2 lần liên tiếp: ngừng hợp tác",1,0.5,P3
"Nhân sự – 9. Cộng tác viên (CTV)",HR-CTV-05,Báo cáo CTV theo mùa/quý,"Thống kê số CTV sử dụng, chi phí, loại dịch vụ, hiệu quả theo tháng/quý","Phân tích chi phí CTV vs nội bộ để tối ưu nguồn lực",1,0.5,P3
"Tài chính – 1. Ngân sách & Kế hoạch",FM-BUD-01,Lập ngân sách năm,"Upload/nhập kế hoạch doanh thu, chi phí theo từng khối/phòng ban; phân bổ theo tháng/quý","Ngân sách phải TGĐ phê duyệt; phiên bản hóa; không sửa sau duyệt",2,1,P1
"Tài chính – 1. Ngân sách & Kế hoạch",FM-BUD-02,Theo dõi thực hiện ngân sách,So sánh thực tế vs kế hoạch theo tháng/quý; biểu đồ và cảnh báo vượt ngân sách,"Vượt >10% phải có giải trình; alert tự động gửi KTT",2,1,P1
"Tài chính – 1. Ngân sách & Kế hoạch",FM-BUD-03,Điều chỉnh ngân sách,Phòng tài chính điều chỉnh ngân sách theo phê duyệt TGĐ; ghi lý do điều chỉnh,Mọi điều chỉnh lưu audit log với người thực hiện và thời gian,1,0.5,P2
"Tài chính – 2. Thu & Doanh thu",FM-REV-01,Ghi nhận doanh thu booking tự động,Tự động cập nhật doanh thu khi đơn đặt chuyển sang trạng thái Completed,"Khớp với module Booking; không trùng lặp; ghi theo ngày cung ứng dịch vụ",2,1,P1
"Tài chính – 2. Thu & Doanh thu",FM-REV-02,Quản lý thu tiền mặt tại quầy,"Ghi nhận thu: số tiền, loại dịch vụ, nhân viên thu, ca làm việc","Thu tiền mặt cần chữ ký kiểm soát; cuối ca đối soát với sổ quỹ",1.5,0.5,P1
"Tài chính – 2. Thu & Doanh thu",FM-REV-03,Đối soát doanh thu cuối ngày,Tổng hợp thu online + tại quầy; so khớp với sao kê ngân hàng và quỹ tiền mặt,"Chênh lệch >100.000 VND phải giải trình; lưu biên bản",2,1,P1
"Tài chính – 2. Thu & Doanh thu",FM-REV-04,Quản lý hóa đơn VAT điện tử,"Xuất hóa đơn điện tử GTGT theo yêu cầu khách; tra cứu, hủy hóa đơn","Tích hợp phần mềm HĐ điện tử (MISA/VNPT); VAT 10%; mẫu số CQT cấp",2.5,1,P1
"Tài chính – 2. Thu & Doanh thu",FM-REV-05,Báo cáo doanh thu theo dịch vụ,"Phân tích doanh thu: lưu trú, F&B, spa, vui chơi, sự kiện, CTV","Export Excel/PDF; biểu đồ xu hướng theo tháng/quý",1.5,0.5,P1
"Tài chính – 3. Chi phí & Thanh toán",FM-EXP-01,Lập đề xuất chi / thanh toán,"Phòng ban lập phiếu: người đề nghị, mục chi, số tiền, hóa đơn đính kèm",">5 triệu: KTT duyệt; >20 triệu: TGĐ duyệt; hóa đơn bắt buộc",1.5,0.5,P1
"Tài chính – 3. Chi phí & Thanh toán",FM-EXP-02,Phê duyệt chi phí (workflow đa cấp),Luồng duyệt tự động theo mức chi: Kế toán → KTT → TGĐ,"Timeout 48h: tự escalate lên cấp trên; thông báo qua email",2,1,P1
"Tài chính – 3. Chi phí & Thanh toán",FM-EXP-03,Ghi nhận thanh toán nhà cung cấp,"Ghi công nợ phải trả, ngày đến hạn, hình thức TT (chuyển khoản/tiền mặt)","Nhắc hạn thanh toán trước 3 ngày; không trùng số hóa đơn",1.5,0.5,P1
"Tài chính – 3. Chi phí & Thanh toán",FM-EXP-04,Quản lý tạm ứng nhân viên,NV yêu cầu tạm ứng lương/công tác phí; trừ tự động vào phiếu lương cuối tháng,"Tối đa 50% lương; tối đa 2 lần/tháng; Trưởng bộ phận duyệt",1,0.5,P2
"Tài chính – 3. Chi phí & Thanh toán",FM-EXP-05,Báo cáo chi phí theo bộ phận/tháng,Tổng hợp chi phí từng khối/phòng ban theo tháng/quý; so sánh với ngân sách,"Chart drill-down; màu xanh: đúng ngân sách; đỏ: vượt",1.5,0.5,P1
"Tài chính – 4. Kế toán tổng hợp",FM-ACC-01,Sổ nhật ký thu chi,Ghi nhận toàn bộ giao dịch tài chính theo ngày; phân loại tài khoản kế toán,"Theo TK Kế toán VN TT200/2014; không xóa bút toán đã khóa kỳ",2,1,P1
"Tài chính – 4. Kế toán tổng hợp",FM-ACC-02,Quản lý công nợ phải thu,"Theo dõi công nợ từ đại lý/đối tác du lịch; ngày đến hạn; tình trạng thu","Quá hạn 30 ngày: gửi cảnh báo email tự động; đánh dấu nợ khó đòi",1.5,0.5,P1
"Tài chính – 4. Kế toán tổng hợp",FM-ACC-03,Quản lý công nợ phải trả,"Theo dõi nợ nhà cung cấp, ngân hàng; lịch thanh toán theo hợp đồng","Phân loại: nhà cung cấp/vay ngắn hạn/vay dài hạn; cảnh báo đến hạn 5 ngày",1.5,0.5,P1
"Tài chính – 4. Kế toán tổng hợp",FM-ACC-04,Đối soát ngân hàng,"Import sao kê ngân hàng (Excel/CSV); khớp tự động với giao dịch hệ thống","Khớp theo số tham chiếu + số tiền; giao dịch chưa khớp xử lý thủ công",2,1,P2
"Tài chính – 4. Kế toán tổng hợp",FM-ACC-05,Quản lý quỹ tiền mặt,"Theo dõi tồn quỹ mỗi ca; nhập/xuất quỹ; báo cáo cuối ngày","Tồn quỹ tối thiểu 10 triệu VND; cảnh báo khi dưới mức; 2 người kiểm quỹ",1.5,0.5,P1
"Tài chính – 5. Thuế & Pháp lý",FM-TAX-01,Tính và kê khai thuế GTGT,Tự động tính VAT đầu ra 10%; khấu trừ VAT đầu vào; tổng hợp kê khai,"Phân biệt hàng chịu thuế/miễn thuế; xuất file XML nộp eTax",2,1,P1
"Tài chính – 5. Thuế & Pháp lý",FM-TAX-02,Quyết toán thuế TNCN nhân viên,Tổng hợp thu nhập NV; tính thuế TNCN theo biểu lũy tiến; xuất file quyết toán,"Tích hợp export HTKK; thời hạn quyết toán: tháng 3 năm sau",2,1,P1
"Tài chính – 5. Thuế & Pháp lý",FM-TAX-03,Quản lý BHXH / BHYT / BHTN,Tổng hợp trích đóng bảo hiểm theo tháng; xuất file nộp cổng BHXH điện tử,"DN đóng: BHXH 17% + BHYT 3% + BHTN 1%; NV đóng: 10.5%",1.5,0.5,P1
"Tài chính – 5. Thuế & Pháp lý",FM-TAX-04,Quản lý hợp đồng kinh tế,"Lưu hợp đồng với NCC, đối tác, đại lý; ngày hiệu lực, giá trị, phụ lục","Cảnh báo trước 30 ngày khi hợp đồng hết hạn; phân loại theo dịch vụ",1.5,0.5,P2
"Tài chính – 6. Báo cáo Tài chính",FM-RPT-01,Báo cáo kết quả kinh doanh (P&L),"Doanh thu – Chi phí = Lợi nhuận theo tháng/quý/năm; phân tích theo dịch vụ và khối","Tự động lấy số liệu từ các phân hệ; chuẩn VAS",2,1,P1
"Tài chính – 6. Báo cáo Tài chính",FM-RPT-02,Bảng cân đối kế toán,"Tổng tài sản, nợ phải trả, vốn chủ sở hữu tại một thời điểm","Chuẩn TT200; TGĐ & KTT xem được; khóa sau kiểm toán ký duyệt",2,1,P1
"Tài chính – 6. Báo cáo Tài chính",FM-RPT-03,Báo cáo lưu chuyển tiền tệ,"Dòng tiền từ hoạt động kinh doanh, đầu tư và tài chính theo quý/năm","Chuẩn VAS 24; phương pháp gián tiếp",1.5,0.5,P2
"Tài chính – 6. Báo cáo Tài chính",FM-RPT-04,Dashboard tài chính tổng quan,"KPI real-time: doanh thu ngày, chi phí tháng, lợi nhuận lũy kế, tỉ lệ công suất","Phân quyền: TGĐ/Phó TGĐ/KTT; refresh 15 phút",2,1,P1
"Vật tư & Thiết bị – 1. Danh mục Tài sản",VT-CAT-01,Danh mục loại tài sản,"Phân loại: Thiết bị điện tử, Nội thất, Xe cơ, Máy móc, Thiết bị bếp/FnB, PCCC","Mã loại tự động; có thể thêm/sửa loại",1,0.5,P1
"Vật tư & Thiết bị – 1. Danh mục Tài sản",VT-CAT-02,Quản lý danh sách thiết bị cố định,"Mỗi TB có: Mã TB, tên, loại, vị trí (phòng/khu vực), năm mua, nguồn gốc, giá trị mua, tình trạng","Mã TB QR-code in dán; tình trạng: Đang dùng/Bảo trì/Hỏng/Đã thanh lý",2,1,P1
"Vật tư & Thiết bị – 1. Danh mục Tài sản",VT-CAT-03,Quản lý vị trí / khu vực,"Khu vực: Khu lưu trú, Nhà hàng, Hồ bơi, Khu vui chơi, Văn phòng, Kho","1 thiết bị 1 vị trí chính; chuyển vị trí thì cập nhật lịch sử",1,0.5,P1
"Vật tư & Thiết bị – 1. Danh mục Tài sản",VT-CAT-04,Danh mục vật tư tiêu hao,"Mã vật tư, tên, đơn vị tính, mức tiêu hao định mức/ngày, nhà cung cấp","Ví dụ: khăn tắm (cái/phòng/ngày), xà phòng (ml), hóa chất vệ sinh (lít)",1.5,0.5,P1
"Vật tư & Thiết bị – 2. Nhập kho",VT-IMP-01,Lập phiếu nhập kho,"Nhập vật tư mua về: chọn vật tư, số lượng, đơn giá, nhà cung cấp, ngày nhập, số hóa đơn","Số lượng nhập > 0; đơn giá > 0; bắt buộc chọn nhà cung cấp",1.5,0.5,P1
"Vật tư & Thiết bị – 2. Nhập kho",VT-IMP-02,Duyệt phiếu nhập kho,Thủ kho lập phiếu; quản lý kho hoặc kế toán duyệt trước khi cập nhật tồn kho,"Duyệt trong 24h; phiếu đã duyệt không sửa được",1,0.5,P1
